homelat,homelon,type,n
25.1001,78.3717,Hydro,30.6
25.1447,81.9415,Coal,660
23.4639,87.1311,Coal,1340
23.4639,87.1311,Coal,1000
8.9159,78.1374,Coal,1200
11.7696,77.8138,Coal,840
11.8014,77.8085,Hydro,250
11.7696,77.8138,Coal,600
21.0377,78.9334,Coal,246
23.438,91.274,Gas,136.5
23.5496,74.4072,Coal,46
21.1797,79.3978,Coal,2320
11.6137,76.6919,Hydro,36
26.8051,70.7381,Wind,20
15.1579,75.7965,Wind,78.9
16.2017,75.3005,Coal,50
31.9553,75.836,Hydro,207
20.0805,79.7148,Coal,15
19.016,72.8948,Gas,31.2
18.5309,72.9465,Oil,25.2
18.9988,72.8997,Gas,75
22.823,69.5532,Coal,4620
22.8158,69.5281,Coal,4000
15.2666,76.3288,Hydro,28.3
15.8555,75.1002,Biomass,11.2
19.261,73.3638,Coal,15
26.1953,85.3017,Coal,610
25.2354,92.2279,Hydro,126
17.5727,73.9032,Wind,14.65
17.4999,75.781,Solar,6.6
29.7303,75.3099,Solar,2.1
29.7311,75.308,Solar,1
22.4077,68.9925,Solar,17
27.1657,70.7455,Wind,31.5
27.1611,70.681,Wind,52.5
18.4921,73.5081,Solar,3
29.7303,75.3099,Solar,21
28.156,78.4089,Nuclear,440
24.7754,84.1588,Coal,500
16.5678,79.3442,Hydro,815.6
16.626,79.4909,Hydro,50
23.4469,75.408,Coal,45.5
18.8829,73.1862,Oil,78.9
21.0582,79.485,Biomass,10
20.8062,79.0548,Biomass,18.9
20.9276,79.2455,Coal,65
27.1858,95.376,Gas,161.75
22.9649,78.8132,Biomass,10
16.2365,76.3369,Hydro,11.6
9.9533,76.9792,Hydro,70
19.9817,73.8896,Coal,630
19.8658,74.0835,Coal,270
19.9817,73.8896,Coal,1350
31.564,77.98,Hydro,1500
21.92,83.2788,Coal,600
21.4504,76.4014,Coal,12.27
26.0132,91.8239,Hydro,40
11.5887,79.4611,Coal,420
11.5893,79.4704,Coal,600
11.5576,79.4417,Coal,1470
11.5534,79.4408,Coal,500
11.5401,79.4159,Coal,250
24.15,81.9045,Coal,1320
24.6428,74.6843,Coal,33.2
34.2154,77.1842,Hydro,45
25.2042,74.6092,Coal,10.5
18.2172,77.9576,Hydro,10
14.098,76.3154,Wind,10.5
13.245,80.3257,Coal,630
13.245,80.3257,Coal,1200
27.5882,91.981,Hydro,6
16.5697,79.3389,Hydro,60
16.5697,79.3389,Hydro,90
22.8985,76.0718,Wind,6.25
8.1784,77.6873,Wind,37.6
25.3723,81.8717,Solar,5.8
14.1651,77.5713,Wind,50.4
15.7319,75.3789,Wind,7.2
27.6007,72.2242,Solar,50
27.5728,72.206,Solar,5
28.1371,72.9661,Solar,5
9.0737,77.4753,Wind,150
24.4375,82.9655,Hydro,99
24.4448,82.9803,Coal,1188
22.2418,76.1619,Hydro,520
26.818,71.0643,Wind,102
23.1689,68.6975,Wind,51
11.0749,79.834,Gas,330.5
21.78,72.979,Gas,655
14.3512,80.1431,Coal,1320
19.4834,75.3696,Hydro,12
23.4987,91.4385,Gas,726.6
10.0314,77.0548,Hydro,37.5
34.004,74.9175,Oil,175
23.6815,86.7473,Hydro,80
29.3975,76.8763,Coal,920
26.4766,80.241,Coal,210
9.9731,77.0281,Hydro,30
8.7065,77.3627,Hydro,32
20.7147,76.7948,Coal,500
31.7398,77.2576,Hydro,520
18.9057,76.7282,Biomass,30
25.5124,78.7588,Coal,1140
18.8685,76.5254,Coal,1170
11.3646,76.6045,Hydro,30
18.8834,73.1814,Gas,66
22.2454,82.7246,Coal,600
29.9274,78.0415,Hydro,20.4
18.6814,73.4948,Hydro,10
17.0853,82.1283,Gas,220
21.4813,79.2086,Hydro,160
14.6859,77.7147,Hydro,20
9.6266,77.1905,Hydro,161
20.8986,71.4693,Gas,702.86
18.9766,78.2563,Hydro,27
31.9667,75.9469,Hydro,396
10.3118,76.617,Hydro,32
10.3118,76.617,Hydro,16
28.7962,77.0706,Gas,1371.2
28.6146,77.2528,Gas,330
16.3328,77.7036,Hydro,234
25.196,81.6594,Coal,1980
16.7739,80.0525,Hydro,90
18.2417,74.7531,Coal,30
23.1975,86.097,Hydro,900
11.5336,76.6011,Hydro,59.2
11.5336,76.6011,Hydro,150
23.6788,68.7653,Solar,5
17.2684,73.8368,Wind,65.6
21.1902,74.3795,Wind,15
22.0983,70.2729,Wind,35.2
26.0748,72.2677,Solar,1
26.5653,75.5622,Solar,1
26.8022,72.0078,Solar,40
26.7874,72.0099,Solar,100
23.2478,70.5948,Wind,21.8
23.1897,70.6216,Wind,14.85
9.9855,77.5777,Wind,9.9
9.0198,77.4501,Wind,16.5
23.3682,70.7432,Solar,9
23.9151,71.9424,Solar,15.2
30.0208,74.546,Solar,19
24.8747,75.6189,Nuclear,1080
24.9174,75.5794,Hydro,172
26.2984,74.1234,Coal,18.7
16.4072,73.9616,Hydro,4.8
23.622,86.661,Coal,1200
16.3532,77.3422,Coal,1720
16.3027,77.3608,Coal,35
21.9846,83.2331,Coal,1000
21.4499,81.8525,Coal,1370
